image,sigma,method,psnr,ssim
PD_axial_006.npy,0.05,Noisy,26.161288500781485,0.6850519776344299
PD_axial_006.npy,0.05,DnCNN,34.96853843283085,0.9562035202980042
PD_axial_006.npy,0.05,RicianNet,32.002848204098925,0.9225659966468811
PD_axial_006.npy,0.05,Attention U-Net,33.83101694206802,0.947598934173584
PD_axial_010.npy,0.05,Noisy,26.16723347685977,0.5753366351127625
PD_axial_010.npy,0.05,DnCNN,35.865280605343955,0.947197675704956
PD_axial_010.npy,0.05,RicianNet,32.26208503250577,0.9051869511604309
PD_axial_010.npy,0.05,Attention U-Net,34.53066900937011,0.9386113882064819
PD_axial_014.npy,0.05,Noisy,26.059637866226083,0.5582255125045776
PD_axial_014.npy,0.05,DnCNN,36.029998588993074,0.9356755018234253
PD_axial_014.npy,0.05,RicianNet,32.4057924933599,0.9012660980224609
PD_axial_014.npy,0.05,Attention U-Net,34.8793400438126,0.9285005331039429
PD_axial_017.npy,0.05,Noisy,26.017556644313498,0.6316210627555847
PD_axial_017.npy,0.05,DnCNN,34.95627829184344,0.9442335963249207
PD_axial_017.npy,0.05,RicianNet,32.12875123335591,0.9163827300071716
PD_axial_017.npy,0.05,Attention U-Net,33.72584662898679,0.9339965581893921
PD_axial_023.npy,0.05,Noisy,25.92542669717458,0.726830005645752
PD_axial_023.npy,0.05,DnCNN,33.74582688426405,0.9523404836654663
PD_axial_023.npy,0.05,RicianNet,31.145533238298874,0.9216901659965515
PD_axial_023.npy,0.05,Attention U-Net,32.44888158585405,0.9353006482124329
PD_axial_024.npy,0.05,Noisy,26.15795042494814,0.7469084858894348
PD_axial_024.npy,0.05,DnCNN,33.80512806285003,0.9571049213409424
PD_axial_024.npy,0.05,RicianNet,31.192944427797467,0.9286036491394043
PD_axial_024.npy,0.05,Attention U-Net,32.496406729070856,0.9418249726295471
PD_axial_044.npy,0.05,Noisy,26.147738319149227,0.7527056336402893
PD_axial_044.npy,0.05,DnCNN,33.50758653808418,0.9566050171852112
PD_axial_044.npy,0.05,RicianNet,30.47496537260132,0.9276741147041321
PD_axial_044.npy,0.05,Attention U-Net,31.472755145949094,0.9359471797943115
PD_axial_053.npy,0.05,Noisy,26.144062321942386,0.7197033762931824
PD_axial_053.npy,0.05,DnCNN,33.36318908803747,0.9529702067375183
PD_axial_053.npy,0.05,RicianNet,30.32104317116246,0.9205487370491028
PD_axial_053.npy,0.05,Attention U-Net,31.399652816791686,0.934344470500946
PD_axial_061.npy,0.05,Noisy,26.11379955575933,0.6915052533149719
PD_axial_061.npy,0.05,DnCNN,33.65482796200886,0.951177179813385
PD_axial_061.npy,0.05,RicianNet,30.25691598002153,0.9144561886787415
PD_axial_061.npy,0.05,Attention U-Net,31.536432686921906,0.9333274960517883
PD_axial_070.npy,0.05,Noisy,26.180250503179572,0.6829058527946472
PD_axial_070.npy,0.05,DnCNN,33.59094335087289,0.9535718560218811
PD_axial_070.npy,0.05,RicianNet,30.104554556003997,0.9150928258895874
PD_axial_070.npy,0.05,Attention U-Net,31.588262011329746,0.937597930431366
PD_axial_076.npy,0.05,Noisy,26.10715310175061,0.709019660949707
PD_axial_076.npy,0.05,DnCNN,33.49130392661854,0.9530342221260071
PD_axial_076.npy,0.05,RicianNet,30.336445254683507,0.9195982217788696
PD_axial_076.npy,0.05,Attention U-Net,31.513480986663815,0.9370176792144775
PD_axial_077.npy,0.05,Noisy,26.222009571192146,0.7187068462371826
PD_axial_077.npy,0.05,DnCNN,33.53766531246562,0.9545386433601379
PD_axial_077.npy,0.05,RicianNet,30.22754401867963,0.9214344024658203
PD_axial_077.npy,0.05,Attention U-Net,31.53852926070682,0.9368671178817749
PD_axial_088.npy,0.05,Noisy,26.290115389033378,0.6962646245956421
PD_axial_088.npy,0.05,DnCNN,33.5283955682047,0.9384201765060425
PD_axial_088.npy,0.05,RicianNet,30.254876810587653,0.9081529974937439
PD_axial_088.npy,0.05,Attention U-Net,31.5720305708262,0.9114065170288086
PD_axial_090.npy,0.05,Noisy,26.42894280522357,0.7005699872970581
PD_axial_090.npy,0.05,DnCNN,33.31880983061915,0.938563883304596
PD_axial_090.npy,0.05,RicianNet,30.466964010696177,0.9153128862380981
PD_axial_090.npy,0.05,Attention U-Net,31.516556413730115,0.9139577746391296
